#multi:
,masa A,,masa B,,masa C,,masa D,
t,pixelx,pixely,pixelx,pixely,pixelx,pixely,pixelx,pixely
22.465,567.0,574.0,632.0,803.5,301.0,873.9,1.082E3,453.8
22.532,565.9,574.4,631.1,802.8,301.8,873.4,1.084E3,453.2
22.598,566.3,574.5,632.3,802.3,303.0,874.7,1.084E3,453.9
22.665,564.9,575.0,630.5,803.2,304.7,874.8,1.085E3,451.8
22.732,565.3,575.8,631.1,803.4,305.3,876.8,1.086E3,451.1
22.798,564.1,576.6,630.2,803.7,304.9,876.5,1.090E3,457.0
22.865,563.9,576.5,631.7,803.9,305.1,877.9,1.092E3,456.7
22.932,564.4,575.6,629.8,803.0,305.9,878.7,1.092E3,456.7
22.998,565.1,576.2,629.9,801.5,306.7,879.1,1.091E3,455.9
23.065,565.4,574.7,630.0,801.4,307.1,877.0,1.092E3,454.3
23.132,565.2,574.7,630.2,800.1,307.5,875.8,1.093E3,453.6
23.198,566.0,574.9,629.5,798.9,308.9,874.9,1.093E3,450.8
23.265,565.7,575.0,630.5,797.1,309.1,874.9,1.094E3,450.0
23.332,567.4,576.0,630.4,799.3,308.8,875.3,1.095E3,450.0
23.398,568.1,576.5,630.8,800.5,307.0,875.6,1.095E3,450.0
23.465,565.3,576.2,632.0,799.9,305.8,874.8,1.095E3,448.9
23.532,564.4,575.2,631.5,800.5,305.9,874.5,1.096E3,450.3
23.598,562.6,574.3,632.0,801.7,305.7,874.1,1.097E3,450.3
23.665,564.2,576.2,632.2,801.6,306.4,875.6,1.097E3,450.9
23.732,565.3,576.1,631.7,800.4,306.2,875.7,1.098E3,452.9
23.798,564.8,576.4,631.5,800.2,306.0,874.4,1.097E3,453.6
